OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01300563,1/22/2013,14:30:00,EST,USGS-02335870,NWIS-93734304,,Not Detected,,"Benzamide, 2-amino-N-(1-methylethyl)-",Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68503,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",2/5/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01300563,1/22/2013,14:30:00,EST,USGS-02335870,NWIS-93734307,,Not Detected,,4-(Hydroxymethyl) pendimethalin,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68511,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",2/4/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01300563,1/22/2013,14:30:00,EST,USGS-02335870,NWIS-93734329,,,,"2-Chloro-4,6-diamino-s-triazine",Dissolved,31.2,ng/l,,Accepted,,Actual,,,,,,,,,,,68547,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",2/5/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01300563,1/22/2013,14:30:00,EST,USGS-02335870,NWIS-93734367,,Not Detected,,O-Ethyl O-methyl S-propyl phosphorothioate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68597,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",2/5/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01300563,1/22/2013,14:30:00,EST,USGS-02335870,NWIS-93734406,,Not Detected,,Metochlor ESA,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68651,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",2/4/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01300563,1/22/2013,14:30:00,EST,USGS-02335870,NWIS-93734488,,,,Diazinon-D10,Dissolved,85.8,%,,Accepted,,Actual,,,,,,,,,,,90523,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",2/5/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436185,,Not Detected,,Fipronil Desulfinyl,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,66607,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/2/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436186,,Not Detected,,Fipronil Sulfide,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,66610,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/2/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436194,,Not Detected,,Tetraconazole,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,66654,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436201,,Not Detected,,Pronamide,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,67706,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436202,,Not Detected,,Azinphos-methyl oxygen analog,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68211,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436214,,Not Detected,,"Benzamide, 2-amino-N-(1-methylethyl)-",Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68503,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436217,,Not Detected,,4-(Hydroxymethyl) pendimethalin,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68511,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/2/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436239,,,,"2-Chloro-4,6-diamino-s-triazine",Dissolved,6.1,ng/l,,Accepted,,Actual,,,,,,,,,,,68547,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,below the detection level,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436277,,Not Detected,,O-Ethyl O-methyl S-propyl phosphorothioate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,68597,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436316,,,,Metochlor ESA,Dissolved,19.5,ng/l,,Accepted,,Actual,,,,,,,,,,,68651,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/2/2013,,,,,,,below the detection level,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01301073,4/17/2013,14:30:00,EDT,USGS-02226160,NWIS-94436397,,,,Diazinon-D10,Dissolved,107,%,,Accepted,,Actual,,,,,,,,,,,90523,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM60,USGS,"Pesticides, wf, dir inj LC/MS/MS",,,USGS TMR 5-B11,"USGS-National Water Quality Lab, Denver, CO",5/3/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01302044,7/23/2013,9:05:00,EST,USGS-02350524,NWIS-107296451,,Not Detected,,"2-Chloro-4,6-diamino-s-triazine",Dissolved,,,,Accepted,,Actual,,,,,,,,,,MM-33411C,4039,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM43,USGS,"Triazines & Phenylureas,SPE,LCMS",,,USGS OF 02-436,"USGS-District Res QW Lab, Lawrence,KS(Organic Geochemistry)",2/28/2014,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01302044,7/23/2013,9:05:00,EST,USGS-02350524,NWIS-107296496,,,,Metochlor ESA,Dissolved,0.2,ug/l,,Accepted,,Actual,,,,,,,,,,MM-33411B,61043,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM45,USGS,"Acetamides, LC-MS, Sch LCPD",,,USGS OF 03-173,"USGS-District Res QW Lab, Lawrence,KS(Organic Geochemistry)",12/31/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01302044,7/23/2013,9:05:00,EST,USGS-02350524,NWIS-107296510,,Not Detected,,"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-",Dissolved,,,,Accepted,,Actual,,,,,,,,,,MM-33411A,62014,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM48,USGS,"Short Antibiotic Method, LC/MS",,,,"USGS-District Res QW Lab, Lawrence,KS(Organic Geochemistry)",9/20/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01302044,7/23/2013,9:05:00,EST,USGS-02350524,NWIS-107296525,,Not Detected,,Sulfachloropyridazine,Dissolved,,,,Accepted,,Actual,,,,,,,,,,MM-33411A,62774,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM48,USGS,"Short Antibiotic Method, LC/MS",,,,"USGS-District Res QW Lab, Lawrence,KS(Organic Geochemistry)",9/20/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01302044,7/23/2013,9:05:00,EST,USGS-02350524,NWIS-107296562,,Not Detected,,Iso-chlorotetracycline,Dissolved,,,,Accepted,,Actual,,,,,,,,,,MM-33411A,64175,,,,,,,,,,,,,,,,,,,,,,,,,,,LCM48,USGS,"Short Antibiotic Method, LC/MS",,,,"USGS-District Res QW Lab, Lawrence,KS(Organic Geochemistry)",9/20/2013,,,,,,,,,,,,,,NWIS
USGS-GA,USGS Georgia Water Science Center,nwisga.01.01302044,7/23/2013,9:05:00,EST,USGS-02350524,NWIS-107296574,,Not Detected,,Beta Cypermethrin,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,65075,,,,,,,,,,,,,,,,,,,,,,,,,,,GM038,USGS,"Current-use pesticides, wf,GC/MS",,,USGS DS 707,"USGS-Organic Chemistry Research Lab, Sacramento, CA",,,,,,,,,,,,,,,NWIS
