PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
GA2870000,ASHBURN,Community water system,Ground water,Turner,ASHBURN,"4,178",12,63,4
GA2190054,ASHLAND SUBDIVISION,Community water system,Ground water,Oconee,WATKINSVILLE,140,6,4,5
GA1270159,ASHLEY MARSH/EGRET'S PASS,Community water system,Ground water,Glynn,BRUNSWICK,91,4,2,6
GA1850069,ASHURST SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,346,4,18,5
GA0770114,ASPEN WOODS LAKE,Community water system,Ground water,Coweta,,88,6,39,3
GA2290004,ASPINWALL`S MOBILE HOME PARK,Community water system,Ground water,Pierce,BLACKSHEAR,125,5,14,5
GA0850012,ATHENS BOAT CLUB,Community water system,Ground water,Dawson,DAWSONVILLE,325,9,19,6
GA0590000,ATHENS-CLARKE CO WATER SYSTEM,Community water system,Surface water,Clarke,ATHENS,"125,000",8,9,34
GA1210001,ATLANTA,Community water system,Surface water,"DeKalb, Fulton",ATLANTA,"1,089,893",6,15,36
GA1210038,ATLANTA-FULTON COUNTY WATER RESOURCES,Community water system,Surface water,Fulton,ALPHARETTA,0,4,0,13
GA0870000,ATTAPULGUS,Community water system,Ground water,Decatur,ATTAPULGUS,723,8,5,5
GA0130000,AUBURN,Community water system,Surface water purchased,Barrow,AUBURN,"7,387",11,11,6
GA0130011,AUBURN MOBILE HOME PARK,Community water system,Surface water purchased,Barrow,,125,5,16,5
GA2450000,AUGUSTA-RICHMOND CO WS,Community water system,Surface water,Richmond,AUGUSTA,"204,000",47,7,15
GA1030082,AURIGA FARMS,Community water system,Ground water,Effingham,,585,8,8,6
GA0670001,AUSTELL,Community water system,Surface water purchased,Cobb,AUSTELL,"7,774",3,8,6
GA1630000,AVERA,Community water system,Ground water,Jefferson,AVERA,223,6,5,4
GA0510014,AZALEA MOBILE HOME PLAZA,Community water system,Ground water,Chatham,,300,8,32,5
GA1030126,AZALEA POINT,Community water system,Ground water,Effingham,,"1,037",9,3,5
GA2050000,BACONTON,Community water system,Ground water,Mitchell,BACONTON,980,9,16,5
GA0290064,BAILEY PLANTATION SUBDIVISION,Community water system,Ground water,Bryan,,355,4,10,5
GA0870001,BAINBRIDGE,Community water system,Ground water,Decatur,BAINBRIDGE,"13,547",11,10,7
GA1370001,BALDWIN,Community water system,Surface water,Habersham,BALDWIN,"4,160",13,27,52
GA0090000,BALDWIN COUNTY,Community water system,Surface water purchased,Baldwin,,"23,067",7,15,5
GA0090047,BALDWIN FOREST SUBDIVISION,Community water system,Ground water,Baldwin,,31,6,0,4
GA0570000,BALL GROUND,Community water system,Ground water,Cherokee,,"2,470",5,9,6
GA1470060,BAMBOO POINT S/D HOA,Community water system,Ground water,Hart,HARTWELL,78,6,22,4
GA0110026,BANKS CO - MOUNTAIN CREEK,Community water system,Surface water,Banks,,"6,453",7,7,33
GA1730015,BANKS LAKE POINTE SUBDIVISION,Community water system,Ground water,Lanier,,198,4,3,3
GA1390039,BANKS MOUNTAIN S/D,Community water system,Ground water,Hall,,57,5,3,5
GA2990016,BAPTIST VILLAGE,Community water system,Ground water,Ware,WAYCROSS,308,6,6,5
GA0290014,BAR D RANCH SUBDIVISION,Community water system,Ground water,Bryan,,57,4,13,5
GA2770032,BAR W MOBILE HOME PARK,Community water system,Ground water,Tift,TIFTON,52,4,22,5
GA2810041,BAREFOOT HILLS SUBDIVISION,Community water system,Ground water,Towns,,62,6,14,5
GA1850098,BARKCO VILLAGE SUBDIVISION,Community water system,Ground water,Lowndes,LAKE PARK,99,5,7,7
GA1710000,BARNESVILLE,Community water system,Surface water,Lamar,BARNESVILLE,"6,755",12,10,30
GA2190053,BARNETTS BLUFF,Community water system,Ground water,Oconee,WATKINSVILLE,143,6,5,4
GA1850057,BARRETTS MOBILE HOME COURT,Community water system,Ground water,Lowndes,VALDOSTA,62,3,24,5
GA1030120,BARRINGTON SUBDIVISION,Community water system,Ground water,Effingham,,75,4,10,5
GA0130034,BARROW COUNTY BOC TRANSMISSION MAINS,Community water system,Surface water purchased,Barrow,,"39,000",4,1,5
GA0130031,BARROW COUNTY WATER SYSTEM,Community water system,Surface water purchased,Barrow,,"14,043",6,6,7
GA1630001,BARTOW,Community water system,Ground water,Jefferson,BARTOW,403,6,33,4
GA0150001,BARTOW COUNTY,Community water system,Surface water purchased,Bartow,CARTERSVILLE,"57,720",10,10,8
GA0270000,BARWICK,Community water system,Ground water,Brooks,BARWICK,497,5,32,4
GA0510138,BASHLORS MOBILE HOME PARK,Community water system,Ground water,Chatham,,55,4,12,5
GA0010000,BAXLEY,Community water system,Ground water,Appling,BAXLEY,"4,741",10,1,5
GA0690031,BAY MEADOWS ESTATES,Community water system,Ground water,Coffee,,"1,404",16,15,8
GA1910117,BAYWOOD PLANTATION,Community water system,Ground water,McIntosh,,29,4,3,4
GA1310042,BEACHTON PLACE,Community water system,Ground water,Grady,CAIRO,135,8,3,6
GA1850273,BEAR BRANCH MOBILE HOME PARK,Community water system,Ground water,Lowndes,VALDOSTA,39,4,4,5
GA0690040,BEAR CREEK MOBILE HOME PARK,Community water system,Ground water,Coffee,,145,8,6,4
GA0710024,BEAR CREEK SUBDIVISION,Community water system,Ground water,Colquitt,,424,4,4,5
GA2970055,BEARDEN ESTATES,Community water system,Ground water,Walton,,40,6,5,5
GA2670022,BEARDS CREEK MHP,Community water system,Ground water,Tattnall,,307,6,35,5
GA0510121,BEAULIEU VILLAGE SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,143,5,12,4
GA0310237,BEAUMONT PLANTATION,Community water system,Ground water,Bulloch,,143,6,9,5
GA0310230,BEAVER CREEK - CROSSWAY COTTAGES,Community water system,Ground water,Bulloch,,403,9,10,5
GA2370064,BEAVER DAM ESTATES,Community water system,Ground water,Putnam,,99,5,3,5
GA0590054,BEAVER DAM ESTATES M. H. P.,Community water system,Ground water,Clarke,ATHENS,78,6,61,5
GA1830039,BEAVER HILL MOBILE HOME PARK,Community water system,Ground water,Long,,133,4,177,5
GA1170037,BEAVER RUIN SUBDIVISION,Community water system,Surface water purchased,Forsyth,,94,5,25,5
GA1270180,BEDFORD ACRES,Community water system,Ground water,Glynn,,31,4,0,5
GA1270035,BEL-AIRE ESTATES ANNEX S/D,Community water system,Ground water,Glynn,BRUNSWICK,117,4,6,5
GA0290069,BELFAST RIVER LANDING - JERICO S/D,Community water system,Ground water,Bryan,,135,6,14,5
GA2110008,BELL VIEW SHORES SUBDIVISION,Community water system,Ground water,Morgan,,65,4,4,5
GA0510114,BELLAIRE VILLAGE SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,57,5,21,6
GA1910050,BELLE BLUFF ESTATES,Community water system,Ground water,McIntosh,,88,4,9,4
GA1090000,BELLVILLE,Community water system,Ground water,Evans,BELLVILLE,365,6,18,5
GA1910072,BELVEDERE ISLAND,Community water system,Ground water,McIntosh,,283,6,21,6
GA3050022,BENNETT ESTATES,Community water system,Ground water,Wayne,JESUP,52,4,82,8
GA0130008,BENT CREEK SUBDIVISION,Community water system,Ground water,Barrow,,203,5,23,6
GA2270003,BENT TREE,Community water system,Surface water,Pickens,JASPER,"3,185",6,7,31
GA1830040,BENTON BAY MOBILE HOME PARK,Community water system,Ground water,Long,,66,3,7,5
GA0310228,BERKSHIRE SUBDIVISION,Community water system,Ground water,Bulloch,,218,6,14,5
GA0710000,BERLIN,Community water system,Ground water,Colquitt,BERLIN,645,6,15,4
GA1150003,BERRY COLLEGE,Community water system,Surface water purchased,Floyd,MOUNT BERRY,"2,200",5,3,21
GA1030152,BERRYVILLE (FKA INDIGO WOODS),Community water system,Ground water,Effingham,,26,3,0,3
GA1850288,BETHANY HILLS WATER SYSTEM,Community water system,Ground water,Lowndes,VALDOSTA,125,4,11,4
GA0510100,BETHESDA HOME FOR BOYS,Community water system,Ground water,Chatham,,126,6,12,6
GA1850078,BEVEL CREEK SUBDIVISION,Community water system,Ground water,Lowndes,LAKE PARK,135,4,7,5
GA0510017,BEVERLY PLANTATION I,Community water system,Ground water,Chatham,,130,4,5,5
GA0510223,BEVERLY PLANTATION II,Community water system,Ground water,Chatham,,65,4,8,4
GA2270004,BIG CANOE SUBDIVISION,Community water system,Surface water,Pickens,JASPER,"6,396",27,8,33
GA1770003,BIG OAK ESTATES,Community water system,Ground water,Lee,,109,4,6,3
GA1910066,BIG TREE ESTATES,Community water system,Ground water,McIntosh,,38,4,21,6
GA2190023,BIRCHMORE HILLS SUBDIVISION,Community water system,Ground water,Oconee,WATKINSVILLE,86,7,15,5
GA0310178,BIRD ROAD TRAILER PARK,Community water system,Ground water,Bulloch,STATESBORO,107,4,1,5
GA0290004,BLACK CREEK FARMS SUBDIVISION,Community water system,Ground water,Bryan,,320,4,11,7
GA0290013,BLACK CREEK FARMS WEST,Community water system,Ground water,Bryan,,291,6,10,4
GA0290098,BLACK CREEK GOLF-BREWTON ACRES,Community water system,Ground water,Bryan,,541,8,5,4
GA2290000,BLACKSHEAR,Community water system,Ground water,Pierce,BLACKSHEAR,"5,811",10,13,6
GA2910000,BLAIRSVILLE,Community water system,Surface water,Union,BLAIRSVILLE,"4,035",14,6,33
GA0990000,BLAKELY,Community water system,Ground water,Early,BLAKELY,"5,716",12,13,4
GA0510016,BLOOMINGDALE,Community water system,Ground water,Chatham,BLOOMINGDALE,"2,500",6,7,5
GA2510053,BLUE HOLE MOBILE HOME PARK,Community water system,Ground water,Screven,NEWINGTON,35,4,12,4
GA1110000,BLUE RIDGE WATER SYSTEM,Community water system,Surface water,Fannin,BLUE RIDGE,"6,112",5,7,29
GA2110010,BLUE SPRINGS S/D,Community water system,Ground water,Morgan,,138,6,6,6
GA1870085,BLUERIDGE OVERLOOK SUBDIVISION,Community water system,Ground water,Lumpkin,,205,5,0,5
GA0610000,BLUFFTON,Community water system,Ground water,Clay,BLUFFTON,164,6,29,6
GA2450001,BLYTHE,Community water system,Ground water,Richmond,BLYTHE,"1,022",7,14,3
GA3050041,BON AIR APARTMENTS,Community water system,Ground water,Wayne,JESUP,31,5,15,4
GA2390001,"BONAPARTE`S RETREAT, INC.",Community water system,Ground water,Quitman,GEORGETOWN,351,7,9,7
GA2190050,BOND CROSSING S/D,Community water system,Surface water purchased,Oconee,,57,4,0,1
GA2750000,BOSTON,Community water system,Ground water,Thomas,BOSTON,"1,464",8,36,4
GA2110000,BOSTWICK WATER SYSTEM,Community water system,Surface water purchased,Morgan,BOSTWICK,471,5,8,5
GA0450000,BOWDON,Community water system,Surface water,Carroll,BOWDON,"6,045",6,18,23
GA2050006,BOWEN MOBILE HOME PARK,Community water system,Ground water,Mitchell,CAMILLA,60,3,16,6
GA1470008,BOWERSVILLE,Community water system,Surface water purchased,Hart,BOWERSVILLE,491,6,25,5
GA1050000,BOWMAN WATER SYSTEM,Community water system,Ground water,Elbert,BOWMAN,"1,121",10,7,5
GA1730019,BOYETTE FARMS,Community water system,Ground water,Lanier,LAKELAND,211,4,0,2
GA1270185,BOYKIN RIDGE SUBDIVISION,Community water system,Ground water,Glynn,,109,5,1,4
GA2050036,BOYNTON GROVE MHP,Community water system,Ground water,Mitchell,BACONTON,39,4,6,5
GA0310205,BRADFORD PLACE,Community water system,Ground water,Bulloch,STATESBORO,245,6,21,4
GA1570000,BRASELTON,Community water system,Surface water purchased,Jackson,,"12,371",19,16,7
GA1270166,BRECKENRIDGE WATER SYSTEM,Community water system,Ground water,Glynn,BRUNSWICK,62,4,3,5
GA1430000,BREMEN,Community water system,Surface water,Haralson,BREMEN,"6,200",7,12,31
GA2610012,BRIAR PATCH MOBILE HOME PARK,Community water system,Ground water,Sumter,AMERICUS,161,10,23,8
GA1830060,BRIARCREST-PALMER PLACE,Community water system,Ground water,Long,,234,6,25,3
GA0290015,BRIARWOOD SUBDIVISION,Community water system,Ground water,Bryan,,49,4,9,4
GA2190073,BRIDLEGATE S/D,Community water system,Ground water,Oconee,,26,5,1,3
GA0870002,BRINSON,Community water system,Ground water,Decatur,BRINSON,263,12,26,6
GA2510021,BRINSONS TRAILER PARK,Community water system,Ground water,Screven,,45,4,128,7
GA2290033,BRITTANY ESTATES,Community water system,Ground water,Pierce,BLACKSHEAR,77,4,34,4
GA2730000,BRONWOOD,Community water system,Ground water,Terrell,BRONWOOD,502,6,16,4
GA0310219,BROOK RUN SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,55,5,6,6
GA1830067,BROOKHAVEN SUBDIVISION,Community water system,Ground water,Long,LUDOWICI,156,4,1,2
GA0310000,BROOKLET,Community water system,Ground water,Bulloch,BROOKLET,"1,456",6,5,4
GA0310222,BROOKLET SOUTH SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,195,6,2,5
GA2590012,BROOKLYN WATER SYSTEM,Community water system,Ground water,Stewart,,"2,371",11,30,5
GA1130000,BROOKS,Community water system,Surface water purchased,Fayette,BROOKS,595,5,12,4
GA0270027,BROOKSIDE PRIME PROPERTIES-FHB,Community water system,Ground water,Brooks,,158,6,20,5
GA1870093,BROOKWOOD & CEDAR SPRINGS SUBDIVISIONS,Community water system,Ground water,Lumpkin,,244,6,0,4
GA2750072,BROOKWOOD CHASE,Community water system,Ground water,Thomas,,55,6,7,6
GA2190021,BROOKWOOD ESTATES SUBDIVISION,Community water system,Surface water purchased,Oconee,,580,9,7,8
GA1030081,BROTHERS` KEEPERS,Community water system,Ground water,Effingham,SPRINGFIELD,79,4,37,5
GA1950006,BROWN BROTHERS FARM SUBDIVISION,Community water system,Ground water,Madison,,663,12,30,4
GA1630011,BROWN TERRACE SUBDIVISION,Community water system,Ground water,Jefferson,,90,4,28,9
GA0690001,BROXTON,Community water system,Ground water,Coffee,,"1,182",8,24,5
GA1270000,BRUNSWICK,Community water system,Ground water,Glynn,,"37,755",27,9,4
GA1270014,BRUNSWICK MOBILE HOME PARK,Community water system,Ground water,Glynn,BRUNSWICK,104,6,3,5
GA0290005,BRYAN ACRES SUBDIVISION,Community water system,Ground water,Bryan,,211,4,8,4
GA0290102,BRYAN COUNTY WATER SYSTEM,Community water system,Ground water,Bryan,,"1,111",5,1,2
GA0290006,BRYAN WOODS ESTATES,Community water system,Ground water,Bryan,,187,4,12,5
GA0290023,BRYAN WOODS ESTATES PHASE III,Community water system,Ground water,Bryan,,123,4,23,4
GA2910062,BRYANT COVE,Community water system,Ground water,Union,BLAIRSVILLE,176,6,10,4
GA1870092,BRYNDEMERE SUBDIVISION,Community water system,Ground water,Lumpkin,,62,5,0,4
GA1430001,BUCHANAN,Community water system,Surface water purchased,Haralson,BUCHANAN,"1,326",3,8,8
GA1030129,BUCKFIELD PLANTATION/PLEASANT HILL S/D,Community water system,Ground water,Effingham,,190,5,5,4
GA2110001,BUCKHEAD,Community water system,Ground water,Morgan,,309,7,26,7
GA0310250,BUCKHEAD PLANTATION,Community water system,Ground water,Bulloch,,25,5,1,5
GA0290078,BUCKLAND HALL PLANTATION,Community water system,Ground water,Bryan,,65,4,12,5
GA1270187,BUCKMEADOW PLANTATION SUBDIVISION,Community water system,Ground water,Glynn,,112,4,1,4
GA1970000,BUENA VISTA,Community water system,Ground water,Marion,BUENA VISTA,"1,588",13,48,11
GA2930015,BUFFINGTON,Community water system,Ground water,Upson,THOMASTON,164,6,6,8
GA1350000,BUFORD,Community water system,Surface water,Gwinnett,BUFORD,"8,482",5,5,23
GA0310232,BURKHALTER - SHADOWBROOK -TALON'S LAKE,Community water system,Ground water,Bulloch,,645,13,4,5
GA1830056,BURNT PINES,Community water system,Ground water,Long,,192,5,4,4
GA2410105,BURTON MOUNTAIN POA,Community water system,Ground water,Rabun,,39,3,0,2
GA2690000,BUTLER,Community water system,Ground water,Taylor,BUTLER,"4,460",8,12,10
GA0350051,BUTTS COUNTY/JACKSON/JENKINSBURG WS,Community water system,Surface water,Butts,JACKSON,"31,171",14,11,31
GA0930000,BYROMVILLE,Community water system,Ground water,Dooly,BYROMVILLE,461,6,13,6
GA2250000,BYRON,Community water system,Ground water,Peach,BYRON,"9,486",8,13,7
GA0510266,B`DETTE MOBILE BLUFF,Community water system,Ground water,Chatham,SAVANNAH,68,5,11,6
GA1930025,C&A MOBILE HOME PARK,Community water system,Ground water,Macon,OGLETHORPE,81,5,0,3
GA1790048,C.R.STANFORD APARTMENTS,Community water system,Ground water,Liberty,HINESVILLE,52,6,100,7
GA1270008,CABANA COURT MHP,Community water system,Ground water,Glynn,BRUNSWICK,88,6,5,5
GA1750000,CADWELL,Community water system,Ground water,Laurens,CADWELL,644,8,21,3
GA1850310,CAIN PLANTATION ESTATES,Community water system,Ground water,Lowndes,HAHIRA,187,7,7,4
GA1310000,CAIRO,Community water system,Ground water,Grady,CAIRO,"9,285",18,14,5
GA1290000,CALHOUN,Community water system,Surface water,Gordon,CALHOUN,"49,088",20,4,44
GA1870074,CALHOUN RIDGE,Community water system,Ground water,Lumpkin,,32,5,89,4
GA1830017,CALHOUN UTILITY,Community water system,Ground water,Long,,213,4,60,6
GA1450006,"CALLAWAY GARDENS RESORTS, INC.",Community water system,Ground water,Harris,PINE MOUNTAIN,"2,649",15,23,10
GA3010000,CAMAK,Community water system,Surface water purchased,Warren,CAMAK,200,7,61,5
GA0310227,CAMBRIDGE SUBDIVISION,Community water system,Ground water,Bulloch,,244,6,2,4
GA0390049,"CAMDEN CO.-FLEA HILL RECREATION, INC.",Community water system,Ground water,Camden,,70,6,139,5
GA2050001,CAMILLA,Community water system,Ground water,Mitchell,CAMILLA,"6,334",16,21,6
GA2970054,CAMP LAKE CROSSING,Community water system,Ground water,Walton,,68,5,3,3
GA1270029,CANAL RD. MOBILE HOMES,Community water system,Ground water,Glynn,BRUNSWICK,99,5,9,4
GA1870090,CANE CREEK MEADOWS SUBDIVISION,Community water system,Ground water,Lumpkin,,107,4,1,3
GA1870012,CANE CREEK TRAILER PARK,Community water system,Ground water,Lumpkin,,65,4,3,6
GA0430026,CANOE LAKE ESTATES S/D,Community water system,Ground water,Candler,,60,3,6,4
GA1190000,CANON WATER SYSTEM,Community water system,Surface water purchased,Franklin,CANON,874,10,23,6
GA0570001,CANTON,Community water system,Surface water,Cherokee,CANTON,"16,375",15,15,40
GA0290008,CAPE HARDWICKE/FT. MCALLISTER/KINSALE/RE,Community water system,Ground water,Bryan,,798,13,10,5
GA1950000,CARLTON,Community water system,Ground water,Madison,CARLTON,419,10,3,4
GA1190001,CARNESVILLE WATER SYSTEM,Community water system,Ground water,Franklin,CARNESVILLE,954,11,19,5
GA0310248,CARRINGTON SOUTH SUBDIVISION,Community water system,Ground water,Bulloch,,213,4,9,5
GA0450001,CARROLL COUNTY,Community water system,Surface water,Carroll,,"48,941",16,21,30
GA0450002,CARROLLTON,Community water system,Surface water,Carroll,CARROLLTON,"25,200",4,14,39
GA2750032,CARTER MOBILE HOME PARK,Community water system,Ground water,Thomas,THOMASVILLE,39,4,34,7
GA1230074,CARTERS LAKE ESTATES,Community water system,Ground water,Gilmer,,148,6,50,4
GA0150002,CARTERSVILLE,Community water system,Surface water,Bartow,CARTERSVILLE,"24,830",6,12,25
GA0950006,CARVER SUBDIVISION,Community water system,Ground water,Dougherty,ALBANY,88,4,7,4
GA1870091,CASTLEBERRY RIDGE SUBDIVISION,Community water system,Ground water,Lumpkin,,166,6,0,4
GA1030117,CASTLEWOOD-CLEARVIEW-WARNER FIELDS,Community water system,Ground water,Effingham,,393,9,6,5
GA0470000,CATOOSA UTIL. DIST. AUTHORITY,Community water system,Surface water purchased,Catoosa,RINGGOLD,"52,650",11,4,6
GA1150000,CAVE SPRING,Community water system,Ground water,Floyd,CAVE SPRING,"4,248",6,14,6
GA0750001,CECIL,Community water system,Ground water,Cook,CECIL,429,7,9,6
GA1830001,CEDAR BROOK MOBILE HOME PARK,Community water system,Ground water,Long,,50,5,10,5
GA2370013,CEDAR COVE / HICKORY POINT SUBDIVISION,Community water system,Ground water,Putnam,,416,9,6,7
GA0150028,CEDAR HILL MOBILE HOME PARK,Community water system,Ground water,Bartow,,60,5,16,7
GA0810007,CEDAR LAKE ESTATES,Community water system,Ground water,Crisp,CORDELE,83,4,22,9
GA0430031,CEDAR PLANTATION ASSISTED LIVING,Community water system,Ground water,Candler,,25,5,4,3
GA2330000,CEDARTOWN,Community water system,Surface water purchased,Polk,,"9,750",7,3,32
GA0310173,CEDARWOOD ACRES  MOBILE HOME PARK,Community water system,Ground water,Bulloch,,133,6,10,8
GA2790028,CENTER HILL MOBILE HOME PARK,Community water system,Ground water,Toombs,,156,4,39,7
GA1530000,CENTERVILLE,Community water system,Ground water,Houston,CENTERVILLE,"11,094",14,9,9
GA0310174,CHANCE`S MOBILE HOME PARK,Community water system,Ground water,Bulloch,STATESBORO,146,6,18,7
GA1470073,CHANDLER`S FERRY SUBDIVISION,Community water system,Ground water,Hart,,36,4,6,3
GA1570010,CHARCLAR SUBDIVISION,Community water system,Ground water,Jackson,,39,5,23,5
GA2410089,"CHARLIE MOUNTAIN WATER, LLC",Community water system,Ground water,Rabun,LAKEMONT,66,5,105,5
GA2090002,CHARLOTTE WATER ASSOCIATION,Community water system,Ground water,Montgomery,UVALDA,75,4,27,8
GA0750047,CHASERVILLE MOBILE HOME PARK,Community water system,Ground water,Cook,,94,8,3,4
GA1470055,CHATEAU ESTATES SUBDIVISION,Community water system,Ground water,Hart,,88,6,1,4
GA0310278,CHATHAM PLACE,Community water system,Ground water,Bulloch,,156,4,2,3
GA2130000,CHATSWORTH,Community water system,Surface water,Murray,CHATSWORTH,"28,262",18,13,25
GA0530002,CHATTAHOOCHEE COUNTY,Community water system,Ground water,Chattahoochee,CUSSETA,"2,847",13,15,8
GA2390002,CHATTAHOOCHEE PLANTATION ESTS.,Community water system,Ground water,Quitman,GEORGETOWN,420,8,7,5
GA0550000,CHATTOOGA COUNTY,Community water system,Ground water,Chattooga,TRION,"7,800",19,5,5
GA0910000,CHAUNCEY,Community water system,Ground water,Dodge,CHAUNCEY,283,10,29,3
GA2850131,CHEROKEE CLUB RESORT,Community water system,Ground water,Troup,,104,5,30,10
GA0570002,CHEROKEE COUNTY,Community water system,Surface water,Cherokee,,"189,542",8,2,36
GA0570075,CHEROKEE COUNTY-SALACOA AREA,Community water system,Surface water purchased,Cherokee,,139,3,1,5
GA0690054,CHEROKEE HEIGHTS MHP,Community water system,Ground water,Coffee,DOUGLAS,60,4,45,6
GA0590013,CHEROKEE MOBILE HOME PARK,Community water system,Ground water,Clarke,,99,7,31,5
GA1330048,CHEROKEE POINT SUBDIVISION,Community water system,Ground water,Greene,GREENSBORO,138,6,4,5
GA1230057,CHERRY LOG MTN.-GRANNY LAKE,Community water system,Ground water,Gilmer,,265,3,13,2
GA1230058,CHERRY LOG MTN.-INDIAN ROCK,Community water system,Ground water,Gilmer,,283,9,24,5
GA1870102,CHESTATEE VALLEY,Community water system,Ground water,Lumpkin,,104,5,0,1
GA0910001,CHESTER,Community water system,Ground water,Dodge,CHESTER,"2,074",8,10,3
GA2910097,CHEYENNE MEADOWS,Community water system,Ground water,Union,,27,4,1,2
GA2950000,CHICKAMAUGA,Community water system,Ground water,Walker,CHICKAMAUGA,"4,150",11,10,9
GA1750104,CHIMNEY HILL SUBDIVISION,Community water system,Ground water,Laurens,DUBLIN,112,6,16,5
GA0750044,CIRCLESTONE CC SUBDIVISION,Community water system,Ground water,Cook,,49,8,11,5
